"sampleid","investigation","sample_type","disease_type","platform","experimental_strategy","data_submitting_center_label"
"s17489","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17512","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17498","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17528","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17535","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17482","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17490","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Baylor College of Medicine"
"s17541","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17499","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17500","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17545","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17516","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17480","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17533","TCGA-OV","Recurrent Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
"s17483","TCGA-OV","Blood Derived Normal","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s17484","TCGA-OV","Primary Tumor","Ovarian Serous Cystadenocarcinoma","Illumina HiSeq","RNA-Seq","Canada's Michael Smith Genome Sciences Centre"
